"","x"
"1","BS614-26"
"2","BS616-75"
"3","BS614-40"
"4","BS616-74"
"5","BS614-36"
"6","BS615-42"
"7","BS615-48"
"8","BS613-8"
"9","BS614-23"
"10","BS613-20"
"11","BS614-22"
"12","BS615-45"
"13","BS614-24"
"14","BS616-72"
"15","BS712-70"
"16","BS713-84"
"17","BS713-102"
"18","BS714-128"
"19","BS713-90"
"20","BS712-74"
"21","BS713-95"
"22","BS713-99"
"23","BS713-107"
"24","BS714-129"
"25","BS710-42"
"26","BS710-40"
"27","BS715-137"
"28","BS710-36"
"29","BS713-87"
"30","BS811-19"
"31","BS813-110"
"32","BS807-3"
"33","BS813-95"
"34","BS812-77"
"35","BS812-49"
"36","BS813-92"
"37","BS813-112"
"38","BS812-50"
"39","BS813-102"
"40","BS814-125"
"41","BS812-60"
"42","BS811-23"
"43","BS810-8"
"44","BS813-96"
"45","BS908-30"
"46","BS911-122"
"47","BS911-60"
"48","BS911-71"
"49","BS911-65"
"50","BS911-94"
"51","BS911-42"
"52","BS911-63"
"53","BS912-138"
"54","BS908-19"
"55","BS906-6"
"56","BS912-128"
"57","BS911-56"
"58","BS911-39"
"59","BS912-132"
