"","Order","Entry","PLOT","Full_sample","Check","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","Mold_kern","Check","Cooler","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","note","Location","Year","Timepoint","PM_at_plating","Experiment"
"1",1,"Check 1-Flavia","11001","Full","C",1,2,13,17,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"2",2,"Check 1-Flavia","11001","Full","C",1,1,10,20,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"3",3,"BS611-2","11007","Full","B",2,2,9,16,5,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"4",4,"BS611-2","11007","Full","B",2,1,15,14,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"5",5,"BS611-3","11008","Full","B",3,2,11,18,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"6",6,"BS611-3","11008","Full","B",3,1,8,21,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"7",7,"BS611-4","11009","Full","B",4,2,5,23,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"8",8,"BS611-4","11009","Full","B",4,1,4,19,6,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"9",9,"BS613-6","11011","Full","B",5,2,6,23,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"10",10,"BS613-6","11011","Full","B",5,1,4,25,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"11",11,"BS613-7","11012","Full","B",6,2,12,16,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"12",12,"BS613-7","11012","Full","B",6,1,7,21,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"13",13,"BS613-8","11013","Full","B",7,2,16,13,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"14",14,"BS613-8","11013","Full","B",7,1,13,17,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"15",15,"BS613-9","11014","Half","B",8,2,8,20,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"16",16,"BS613-9","11014","Half","B",8,1,11,19,5,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"17",17,"BS613-10","11015","Full","B",9,2,8,22,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"18",18,"BS613-10","11015","Full","B",9,1,4,25,0,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"19",19,"BS613-11","11016","Full","B",10,2,7,20,2,1,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"20",20,"BS613-11","11016","Full","B",10,1,8,19,2,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"21",21,"BS613-12","11017","Full","B",11,2,7,18,2,3,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"22",22,"BS613-12","11017","Full","B",11,1,6,21,2,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"23",23,"BS613-13","11018","Full","B",12,2,14,16,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"24",24,"BS613-13","11018","Full","B",12,1,10,20,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"25",25,"BS613-14","11019","Half","B",13,2,10,18,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"26",26,"BS613-14","11019","Half","B",13,1,10,16,4,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"27",27,"BS613-15","11020","Full","B",14,2,9,19,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"28",28,"BS613-15","11020","Full","B",14,1,7,21,1,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"29",29,"BS613-16","11021","Full","B",15,2,13,17,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"30",30,"BS613-16","11021","Full","B",15,1,15,14,0,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"31",31,"BS613-18","11023","Half","B",NA,2,20,10,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"32",32,"BS613-18","11023","Half","B",NA,1,9,18,1,0,0,2,NA,"B",NA,NA,NA,NA,NA,NA,NA,"Snyder","2020","5","152","Winter DH Germination"
"33",33,"BS613-19","11024","Half","B",NA,2,16,14,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"34",34,"BS613-19","11024","Half","B",NA,1,11,19,0,0,0,0,NA,"B",NA,NA,NA,NA,NA,NA,NA,"Snyder","2020","5","152","Winter DH Germination"
"35",35,"BS613-20","11025","Half","B",16,2,2,27,0,0,0,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"36",36,"BS613-20","11025","Half","B",16,1,3,27,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"37",37,"BS613-21","11026","Full","B",17,2,9,20,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"38",38,"BS613-21","11026","Full","B",17,1,11,19,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"39",39,"BS614-23","11028","Full","B",18,2,12,14,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"40",40,"BS614-23","11028","Full","B",18,1,19,10,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"41",41,"BS614-24","11029","Half","B",19,2,8,20,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"42",42,"BS614-24","11029","Half","B",19,1,9,16,3,0,0,2,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
