,Entry,PLOT,sort,Harv,Mist,Score,Sprout Score,Special_note
3,Check 3-DH130910,12003,,02-07-20,06-07-20,09-07-20,00000,
7,BS611-3,12008,,02-07-20,06-07-20,09-07-20,00000,
8,BS611-4,12009,,02-07-20,06-07-20,09-07-20,00000,
16,BS614-26,12031,,02-07-20,06-07-20,09-07-20,00000,
17,BS614-36,12041,,02-07-20,06-07-20,09-07-20,00000,
18,BS614-38,12043,,02-07-20,06-07-20,09-07-20,00000,
19,BS614-40,12045,,02-07-20,06-07-20,09-07-20,00000,
27,BS616-64,12071,,02-07-20,06-07-20,09-07-20,00000,
28,BS616-65,12072,,02-07-20,06-07-20,09-07-20,00000,
31,BS616-75,12082,,02-07-20,06-07-20,09-07-20,00000,
32,BS616-77,12084,,02-07-20,06-07-20,09-07-20,00000,
36,Check 3-DH130911,12102,,02-07-20,06-07-20,09-07-20,00000,
41,BS710-23,12114,,02-07-20,06-07-20,09-07-20,00000,
42,BS710-27,12118,,02-07-20,06-07-20,09-07-20,00000,
55,BS713-95,12188,,02-07-20,06-07-20,09-07-20,00000,
59,BS713-104,12197,,06-07-20,10-07-20,13-07-20,00000,
63,Check 3-DH130910,12202,,06-07-20,10-07-20,13-07-20,00000,
68,BS714-128,12226,,02-07-20,06-07-20,09-07-20,00000,
69,BS715-142,12240,,06-07-20,10-07-20,13-07-20,00000,
73,BS811-19,12264,,02-07-20,06-07-20,09-07-20,00000,
77,BS811-36,12281,,06-07-20,10-07-20,13-07-20,00000,
82,BS812-54,12299,,02-07-20,06-07-20,09-07-20,00000,
84,BS812-67,12317,,02-07-20,06-07-20,09-07-20,00000,
85,BS812-70,12320,,02-07-20,06-07-20,09-07-20,00000,
89,BS813-94,12344,,06-07-20,10-07-20,13-07-20,00000,
91,BS813-100,12352,,02-07-20,06-07-20,09-07-20,00000,
92,BS813-110,12362,,02-07-20,06-07-20,09-07-20,00000,
93,BS813-111,12363,,02-07-20,06-07-20,09-07-20,00000,
97,BS814-140,12392,,06-07-20,10-07-20,13-07-20,00000,
98,BS906-7,12399,,02-07-20,06-07-20,09-07-20,00000,
99,BS906-9,12406,,02-07-20,06-07-20,09-07-20,00000,
103,BS908-22,12419,,02-07-20,06-07-20,09-07-20,00000,
106,BS908-30,12427,,02-07-20,06-07-20,09-07-20,00000,
111,BS911-60,12459,,06-07-20,10-07-20,13-07-20,00000,
113,BS911-86,12485,,06-07-20,10-07-20,13-07-20,00000,
114,BS911-91,12490,,02-07-20,06-07-20,09-07-20,00000,
119,BS911-122,12526,,06-07-20,10-07-20,13-07-20,00000,
120,BS912-129,12533,,06-07-20,10-07-20,13-07-20,00000,
121,BS912-134,12538,,06-07-20,10-07-20,13-07-20,00000,
122,BS912-135,12539,,06-07-20,10-07-20,13-07-20,00000,
20,BS615-41,12046,,02-07-20,06-07-20,09-07-20,30000,
75,BS811-26,12271,,02-07-20,06-07-20,09-07-20,10000,
53,BS713-84,12177,,02-07-20,06-07-20,09-07-20,20000,
105,BS908-29,12426,,06-07-20,10-07-20,13-07-20,23000,
35,Check 2-Scala,12101,,06-07-20,10-07-20,13-07-20,23300,
10,BS613-6,12011,,02-07-20,06-07-20,09-07-20,30300,large_variance
72,BS810-7,12252,,02-07-20,06-07-20,09-07-20,10000,
60,BS713-105,12198,,06-07-20,10-07-20,13-07-20,10030,
87,BS812-81,12331,,02-07-20,06-07-20,09-07-20,10100,
104,BS908-26,12423,,06-07-20,10-07-20,13-07-20,11110,
52,BS713-75,12168,,02-07-20,06-07-20,09-07-20,20000,
94,BS814-130,12382,,06-07-20,10-07-20,13-07-20,30200,large_variance
54,BS713-93,12186,,02-07-20,06-07-20,09-07-20,30230,large_variance
29,BS616-66,12073,,02-07-20,06-07-20,09-07-20,10000,
39,BS710-15,12106,,06-07-20,10-07-20,13-07-20,10000,
79,BS811-42,12287,,02-07-20,06-07-20,09-07-20,10000,
80,BS812-46,12291,,06-07-20,10-07-20,13-07-20,10000,
88,BS813-86,12336,,02-07-20,06-07-20,09-07-20,10000,
95,BS814-132,12384,,02-07-20,06-07-20,09-07-20,10000,
100,BS908-14,12411,,06-07-20,10-07-20,13-07-20,10000,
78,BS811-40,12285,,02-07-20,06-07-20,09-07-20,10003,large_variance
108,BS911-38,12435,,06-07-20,10-07-20,13-07-20,10011,
58,BS713-102,12195,,02-07-20,06-07-20,09-07-20,10100,
40,BS710-21,12112,,02-07-20,06-07-20,09-07-20,11000,
50,BS710-64,12157,,02-07-20,06-07-20,09-07-20,11000,
101,BS908-16,12413,,06-07-20,10-07-20,13-07-20,11003,
4,Check 4-SY Tepee,12004,,06-07-20,10-07-20,13-07-20,11004,
6,BS611-2,12007,,02-07-20,06-07-20,09-07-20,11004,large_variance
107,BS911-35,12432,,06-07-20,10-07-20,13-07-20,11100,
14,BS613-15,12020,,02-07-20,06-07-20,09-07-20,11200,
23,BS615-46,12053,,02-07-20,06-07-20,09-07-20,11220,
15,BS613-21,12026,,02-07-20,06-07-20,09-07-20,11300,
21,BS615-42,12047,,02-07-20,06-07-20,09-07-20,12000,
48,BS710-58,12149,,06-07-20,10-07-20,13-07-20,12142,
83,BS812-57,12307,,02-07-20,06-07-20,09-07-20,12200,
46,BS710-41,12132,,02-07-20,06-07-20,09-07-20,20000,
67,BS714-125,12223,,02-07-20,06-07-20,09-07-20,20000,
118,BS911-105,12509,,06-07-20,10-07-20,13-07-20,20011,
51,BS712-69,12162,,02-07-20,06-07-20,09-07-20,20200,
102,BS908-20,12417,,06-07-20,10-07-20,13-07-20,20213,
25,BS616-58,12065,,02-07-20,06-07-20,09-07-20,21000,
56,BS713-96,12189,,02-07-20,06-07-20,09-07-20,21000,
47,BS710-48,12139,,02-07-20,06-07-20,09-07-20,22100,
