Source,Entry,PLOT,Location,Year,PM,Assay_number,rep,Bag
21,BS811-21,6011,McGowan,2021,178,MQ-101,1,WinterTP1-1
61,BS811-21,6011,McGowan,2021,178,MQ-101,2,WinterTP1-1
70,BS712-70,6012,McGowan,2021,178,MQ-102,1,WinterTP1-1
116,BS712-70,6012,McGowan,2021,178,MQ-102,2,WinterTP1-1
17,BS908-17,6014,McGowan,2021,172,MQ-103,1,WinterTP1-1
75,BS908-17,6014,McGowan,2021,172,MQ-103,2,WinterTP1-1
23,BS811-23,6016,McGowan,2021,170,MQ-104,1,WinterTP1-1
14,BS811-23,6016,McGowan,2021,170,MQ-104,2,WinterTP1-1
112,BS813-112,6022,McGowan,2021,178,MQ-105,1,WinterTP1-1
28,BS813-112,6022,McGowan,2021,178,MQ-105,2,WinterTP1-1
128,BS714-128,6027,McGowan,2021,174,MQ-106,1,WinterTP1-1
14,BS714-128,6027,McGowan,2021,174,MQ-106,2,WinterTP1-1
29,BS811-29,6029,McGowan,2021,176,MQ-107,1,WinterTP1-1
115,BS811-29,6029,McGowan,2021,176,MQ-107,2,WinterTP1-1
109,BS911-109,6031,McGowan,2021,178,MQ-108,1,WinterTP1-1
101,BS911-109,6031,McGowan,2021,178,MQ-108,2,WinterTP1-1
79,BS616-79,6033,McGowan,2021,172,MQ-109,1,WinterTP1-1
101,BS616-79,6033,McGowan,2021,172,MQ-109,2,WinterTP1-1
48,BS710-48,6036,McGowan,2021,172,MQ-110,1,WinterTP1-1
47,BS710-48,6036,McGowan,2021,172,MQ-110,2,WinterTP1-1
42,BS911-42,6039,McGowan,2021,176,MQ-111,1,WinterTP1-1
55,BS911-42,6039,McGowan,2021,176,MQ-111,2,WinterTP1-1
Ck,KWS Scala,6040,McGowan,2021,176,MQ-112,1,WinterTP1-1
143,KWS Scala,6040,McGowan,2021,176,MQ-112,2,WinterTP1-1
75,BS616-75,6041,McGowan,2021,174,MQ-113,1,WinterTP1-1
1,BS616-75,6041,McGowan,2021,174,MQ-113,2,WinterTP1-1
67,BS616-67,6042,McGowan,2021,178,MQ-114,1,WinterTP1-1
133,BS616-67,6042,McGowan,2021,178,MQ-114,2,WinterTP1-1
97,BS911-97,6051,McGowan,2021,172,MQ-115,1,WinterTP1-1
100,BS911-97,6051,McGowan,2021,172,MQ-115,2,WinterTP1-1
24,BS614-24,6060,McGowan,2021,170,MQ-116,1,WinterTP1-1
4,BS614-24,6060,McGowan,2021,170,MQ-116,2,WinterTP1-1
76,BS812-76,6061,McGowan,2021,172,MQ-117,1,WinterTP1-1
136,BS812-76,6061,McGowan,2021,172,MQ-117,2,WinterTP1-1
41,BS811-41,6071,McGowan,2021,178,MQ-118,1,WinterTP1-1
114,BS811-41,6071,McGowan,2021,178,MQ-118,2,WinterTP1-1
30,BS614-30,6072,McGowan,2021,174,MQ-119,1,WinterTP1-1
98,BS614-30,6072,McGowan,2021,174,MQ-119,2,WinterTP1-1
3,BS807-3,6074,McGowan,2021,178,MQ-120,1,WinterTP1-1
118,BS807-3,6074,McGowan,2021,178,MQ-120,2,WinterTP1-1
20,BS811-20,6079,McGowan,2021,176,MQ-121,1,WinterTP1-1
78,BS811-20,6079,McGowan,2021,176,MQ-121,2,WinterTP1-1
22,BS614-22,6086,McGowan,2021,178,MQ-122,1,WinterTP1-1
38,BS614-22,6086,McGowan,2021,178,MQ-122,2,WinterTP1-1
71,BS911-71,6088,McGowan,2021,178,MQ-123,1,WinterTP1-1
88,BS911-71,6088,McGowan,2021,178,MQ-123,2,WinterTP1-1
95,BS813-95,6089,McGowan,2021,176,MQ-124,1,WinterTP1-1
119,BS813-95,6089,McGowan,2021,176,MQ-124,2,WinterTP1-1
29,BS614-29,6091,McGowan,2021,174,MQ-125,1,WinterTP1-1
44,BS614-29,6091,McGowan,2021,174,MQ-125,2,WinterTP1-1
109,BS713-109,6092,McGowan,2021,172,MQ-126,1,WinterTP1-1
68,BS713-109,6092,McGowan,2021,172,MQ-126,2,WinterTP1-1
Ck,DH130910,6095,McGowan,2021,172,MQ-127,1,WinterTP1-1
79,DH130910,6095,McGowan,2021,172,MQ-127,2,WinterTP1-1
94,BS911-94,6096,McGowan,2021,170,MQ-128,1,WinterTP1-1
64,BS911-94,6096,McGowan,2021,170,MQ-128,2,WinterTP1-1
135,BS814-135,6098,McGowan,2021,174,MQ-129,1,WinterTP1-1
61,BS814-135,6098,McGowan,2021,174,MQ-129,2,WinterTP1-1
66,BS911-66,6103,McGowan,2021,176,MQ-130,1,WinterTP1-1
50,BS911-66,6103,McGowan,2021,176,MQ-130,2,WinterTP1-1
11,BS908-11,6112,McGowan,2021,180,MQ-131,1,WinterTP1-1
13,BS908-11,6112,McGowan,2021,180,MQ-131,2,WinterTP1-1
129,BS714-129,6114,McGowan,2021,178,MQ-132,1,WinterTP1-1
48,BS714-129,6114,McGowan,2021,178,MQ-132,2,WinterTP1-1
122,BS911-122,6119,McGowan,2021,176,MQ-133,1,WinterTP1-1
29,BS911-122,6119,McGowan,2021,176,MQ-133,2,WinterTP1-1
53,BS812-53,6120,McGowan,2021,180,MQ-134,1,WinterTP1-1
77,BS812-53,6120,McGowan,2021,180,MQ-134,2,WinterTP1-1
123,BS714-123,6121,McGowan,2021,178,MQ-135,1,WinterTP1-1
24,BS714-123,6121,McGowan,2021,178,MQ-135,2,WinterTP1-1
48,BS615-48,6122,McGowan,2021,178,MQ-136,1,WinterTP1-1
60,BS615-48,6122,McGowan,2021,178,MQ-136,2,WinterTP1-1
78,BS713-78,6128,McGowan,2021,174,MQ-137,1,WinterTP1-1
121,BS713-78,6128,McGowan,2021,174,MQ-137,2,WinterTP1-1
45,BS710-45,6132,McGowan,2021,172,MQ-138,1,WinterTP1-1
145,BS710-45,6132,McGowan,2021,172,MQ-138,2,WinterTP1-1
42,BS615-42,6136,McGowan,2021,176,MQ-139,1,WinterTP1-1
39,BS615-42,6136,McGowan,2021,176,MQ-139,2,WinterTP1-1
77,BS812-77,6137,McGowan,2021,178,MQ-140,1,WinterTP1-1
45,BS812-77,6137,McGowan,2021,178,MQ-140,2,WinterTP1-1
20,BS613-20,6145,McGowan,2021,176,MQ-141,1,WinterTP1-1
115,BS613-20,6145,McGowan,2021,176,MQ-141,2,WinterTP1-1
8,BS906-8,6146,McGowan,2021,174,MQ-142,1,WinterTP1-1
117,BS906-8,6146,McGowan,2021,174,MQ-142,2,WinterTP1-1
132,BS814-132,6147,McGowan,2021,174,MQ-143,1,WinterTP1-1
86,BS814-132,6147,McGowan,2021,174,MQ-143,2,WinterTP1-1
140,BS814-140,6154,McGowan,2021,176,MQ-144,1,WinterTP1-1
52,BS814-140,6154,McGowan,2021,176,MQ-144,2,WinterTP1-1
102,BS713-102,6160,McGowan,2021,176,MQ-145,1,WinterTP1-1
129,BS713-102,6160,McGowan,2021,176,MQ-145,2,WinterTP1-1
38,BS811-38,6164,McGowan,2021,172,MQ-146,1,WinterTP1-1
91,BS811-38,6164,McGowan,2021,172,MQ-146,2,WinterTP1-1
60,BS812-60,6176,McGowan,2021,178,MQ-147,1,WinterTP1-1
127,BS812-60,6176,McGowan,2021,178,MQ-147,2,WinterTP1-1
63,BS911-63,6178,McGowan,2021,174,MQ-148,1,WinterTP1-1
86,BS911-63,6178,McGowan,2021,174,MQ-148,2,WinterTP1-1
30,BS908-30,6181,McGowan,2021,176,MQ-149,1,WinterTP1-1
9,BS908-30,6181,McGowan,2021,176,MQ-149,2,WinterTP1-1
25,BS811-25,6183,McGowan,2021,174,MQ-150,1,WinterTP1-1
36,BS811-25,6183,McGowan,2021,174,MQ-150,2,WinterTP1-1
67,BS710-67,6184,McGowan,2021,178,MQ-151,1,WinterTP1-1
125,BS710-67,6184,McGowan,2021,178,MQ-151,2,WinterTP1-1
74,BS616-74,6188,McGowan,2021,176,MQ-152,1,WinterTP1-1
50,BS616-74,6188,McGowan,2021,176,MQ-152,2,WinterTP1-1
65,BS911-65,6190,McGowan,2021,176,MQ-153,1,WinterTP1-1
8,BS911-65,6190,McGowan,2021,176,MQ-153,2,WinterTP1-1
44,BS710-44,6204,McGowan,2021,172,MQ-154,1,WinterTP1-1
140,BS710-44,6204,McGowan,2021,172,MQ-154,2,WinterTP1-1
23,BS614-23,6208,McGowan,2021,176,MQ-155,1,WinterTP1-1
69,BS614-23,6208,McGowan,2021,176,MQ-155,2,WinterTP1-1
70,BS812-70,6224,McGowan,2021,178,MQ-156,1,WinterTP1-1
67,BS812-70,6224,McGowan,2021,178,MQ-156,2,WinterTP1-1
24,BS811-24,6228,McGowan,2021,174,MQ-157,1,WinterTP1-1
101,BS811-24,6228,McGowan,2021,174,MQ-157,2,WinterTP1-1
40,BS710-40,6230,McGowan,2021,174,MQ-158,1,WinterTP1-1
41,BS710-40,6230,McGowan,2021,174,MQ-158,2,WinterTP1-1
135,BS715-135,6235,McGowan,2021,176,MQ-159,1,WinterTP1-1
18,BS715-135,6235,McGowan,2021,176,MQ-159,2,WinterTP1-1
Ck,Endeavor,6237,McGowan,2021,176,MQ-160,1,WinterTP1-1
115,Endeavor,6237,McGowan,2021,176,MQ-160,2,WinterTP1-1
6,BS906-6,6239,McGowan,2021,174,MQ-161,1,WinterTP1-2
40,BS906-6,6239,McGowan,2021,174,MQ-161,2,WinterTP1-2
138,BS912-138,6241,McGowan,2021,172,MQ-162,1,WinterTP1-2
119,BS912-138,6241,McGowan,2021,172,MQ-162,2,WinterTP1-2
132,BS912-132,6242,McGowan,2021,176,MQ-163,1,WinterTP1-2
16,BS912-132,6242,McGowan,2021,176,MQ-163,2,WinterTP1-2
98,BS713-98,6245,McGowan,2021,168,MQ-164,1,WinterTP1-2
93,BS713-98,6245,McGowan,2021,168,MQ-164,2,WinterTP1-2
8,BS810-8,6246,McGowan,2021,176,MQ-165,1,WinterTP1-2
109,BS810-8,6246,McGowan,2021,176,MQ-165,2,WinterTP1-2
90,BS713-90,6249,McGowan,2021,178,MQ-166,1,WinterTP1-2
23,BS713-90,6249,McGowan,2021,178,MQ-166,2,WinterTP1-2
34,BS614-34,6250,McGowan,2021,176,MQ-167,1,WinterTP1-2
