"","PLOT","Entry","PM","Location","sampletype"
"1",7296,"BS613-10",170,"Ketola","Replicatedatother PM dates"
"2",7184,"BS613-11",170,"Ketola","Replicatedatother PM dates"
"3",7162,"BS613-15",170,"Ketola","Replicatedatother PM dates"
"4",7376,"BS614-29",170,"Ketola","Replicatedatother PM dates"
"5",7221,"BS614-30",170,"Ketola","Replicatedatother PM dates"
"6",7285,"BS614-36",170,"Ketola","Replicatedatother PM dates"
"7",7380,"BS614-40",170,"Ketola","Replicatedatother PM dates"
"8",7065,"BS615-41",170,"Ketola","Replicatedatother PM dates"
"9",7015,"BS615-42",170,"Ketola","Replicatedatother PM dates"
"10",7270,"BS615-46",170,"Ketola","Replicatedatother PM dates"
"11",7232,"BS615-48",170,"Ketola","Replicatedatother PM dates"
"12",7204,"BS615-50",170,"Ketola","Replicatedatother PM dates"
"13",7259,"BS616-60",170,"Ketola","Replicatedatother PM dates"
"14",7057,"BS616-61",170,"Ketola","Replicatedatother PM dates"
"15",7061,"BS616-69",170,"Ketola","Replicatedatother PM dates"
"16",7205,"BS616-79",170,"Ketola","Replicatedatother PM dates"
"17",7440,"BS710-1",170,"Ketola","Replicatedatother PM dates"
"18",7373,"BS710-11",170,"Ketola","Replicatedatother PM dates"
"19",7098,"BS710-23",170,"Ketola","Replicatedatother PM dates"
"20",7115,"BS710-25",170,"Ketola","Replicatedatother PM dates"
"21",7293,"BS710-32",170,"Ketola","Replicatedatother PM dates"
"22",7072,"BS710-36",170,"Ketola","Replicatedatother PM dates"
"23",7257,"BS710-44",170,"Ketola","Replicatedatother PM dates"
"24",7302,"BS710-45",170,"Ketola","Replicatedatother PM dates"
"25",7243,"BS710-48",170,"Ketola","Replicatedatother PM dates"
"26",7090,"BS710-66",170,"Ketola","Replicatedatother PM dates"
"27",7043,"BS710-67",170,"Ketola","Replicatedatother PM dates"
"28",7046,"BS713-108",170,"Ketola","Replicatedatother PM dates"
"29",7116,"BS713-109",170,"Ketola","Replicatedatother PM dates"
"30",7148,"BS713-78",170,"Ketola","Replicatedatother PM dates"
"31",7192,"BS713-80",170,"Ketola","Replicatedatother PM dates"
"32",7336,"BS713-83",170,"Ketola","Replicatedatother PM dates"
"33",7198,"BS713-84",170,"Ketola","Replicatedatother PM dates"
"34",7119,"BS713-95",170,"Ketola","Replicatedatother PM dates"
"35",7178,"BS713-96",170,"Ketola","Replicatedatother PM dates"
"36",7254,"BS714-119",170,"Ketola","Replicatedatother PM dates"
"37",7150,"BS714-127",170,"Ketola","Replicatedatother PM dates"
"38",7123,"BS714-128",170,"Ketola","Replicatedatother PM dates"
"39",7371,"BS715-135",170,"Ketola","Replicatedatother PM dates"
"40",7268,"BS715-143",170,"Ketola","Replicatedatother PM dates"
"41",7359,"BS811-24",170,"Ketola","Replicatedatother PM dates"
"42",7248,"BS811-25",170,"Ketola","Replicatedatother PM dates"
"43",7416,"BS811-27",170,"Ketola","Replicatedatother PM dates"
"44",7125,"BS811-29",170,"Ketola","Replicatedatother PM dates"
"45",7110,"BS811-32",170,"Ketola","Replicatedatother PM dates"
"46",7384,"BS811-38",170,"Ketola","Replicatedatother PM dates"
"47",7250,"BS812-47",170,"Ketola","Replicatedatother PM dates"
"48",7063,"BS812-59",170,"Ketola","Replicatedatother PM dates"
"49",7106,"BS812-70",170,"Ketola","Replicatedatother PM dates"
"50",7374,"BS812-76",170,"Ketola","Replicatedatother PM dates"
"51",7360,"BS812-83",170,"Ketola","Replicatedatother PM dates"
"52",7256,"BS813-102",170,"Ketola","Replicatedatother PM dates"
"53",7213,"BS813-109",170,"Ketola","Replicatedatother PM dates"
