,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,UserDay1,UserDay2,UserDay3,UserDay4,UserDay5,Year,Location,Timepoint,PM_at_plating,Experiment
1,Check 1-Flavia,11001,Full,C,1,1,11,18,0,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
2,Check 1-Flavia,11001,Full,C,1,2,16,13,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
3,BS611-2,11007,Full,B,2,1,2,26,2,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
4,BS611-2,11007,Full,B,2,2,7,20,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
5,BS611-3,11008,Full,B,3,1,2,20,8,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
6,BS611-3,11008,Full,B,3,2,1,26,3,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
7,BS611-4,11009,Full,B,4,1,3,22,5,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
8,BS611-4,11009,Full,B,4,2,6,24,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
9,BS613-6,11011,Full,B,5,1,1,18,10,1,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
10,BS613-6,11011,Full,B,5,2,0,23,7,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
11,BS613-7,11012,Full,B,6,1,2,23,4,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
12,BS613-7,11012,Full,B,6,2,2,27,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
13,BS613-8,11013,Full,B,7,1,11,18,1,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
14,BS613-8,11013,Full,B,7,2,17,13,0,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
15,BS613-9,11014,Half,B,8,1,4,21,5,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
16,BS613-9,11014,Half,B,8,2,5,20,4,1,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
17,BS613-10,11015,Full,B,9,1,10,20,0,0,0,0,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
18,BS613-10,11015,Full,B,9,2,9,20,1,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
19,BS613-11,11016,Full,B,10,1,9,17,3,0,0,1,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
20,BS613-11,11016,Full,B,10,2,9,15,6,0,0,0,,,,KK,KK,KK,KK,KK,2020,Snyder,4,96,Winter DH Germination
21,BS613-12,11017,Full,B,11,1,4,16,7,0,0,3,,,,TR,TR,TR,TR,TR,2020,Snyder,4,96,Winter DH Germination
