,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
2,Check 1-Flavia,11001,Full,C,1,2,0,8,17,2,5,3,NA,,,2020,Snyder,1,5,Winter DH Germination
1,Check 1-Flavia,11001,Full,C,1,1,0,9,6,6,4,5,NA,,,2020,Snyder,1,5,Winter DH Germination
3,BS611-2,11007,Full,B,2,1,0,5,13,5,6,1,NA,,,2020,Snyder,1,5,Winter DH Germination
4,BS611-2,11007,Full,B,2,2,0,3,12,7,1,8,NA,,,2020,Snyder,1,5,Winter DH Germination
5,BS611-3,11008,Full,B,3,1,0,1,8,3,10,13,NA,,,2020,Snyder,1,5,Winter DH Germination
6,BS611-3,11008,Full,B,3,2,0,1,2,6,6,16,NA,,,2020,Snyder,1,5,Winter DH Germination
7,BS611-4,11009,Full,B,4,1,0,2,4,3,4,17,NA,,,2020,Snyder,1,5,Winter DH Germination
8,BS611-4,11009,Full,B,4,2,0,1,5,4,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
10,BS613-6,11011,Full,B,5,2,0,1,2,3,4,20,NA,,,2020,Snyder,1,5,Winter DH Germination
9,BS613-6,11011,Full,B,5,1,0,0,0,7,8,15,NA,,,2020,Snyder,1,5,Winter DH Germination
11,BS613-7,11012,Full,B,6,1,0,1,2,8,8,11,NA,,,2020,Snyder,1,5,Winter DH Germination
12,BS613-7,11012,Full,B,6,2,0,0,1,9,9,12,NA,,,2020,Snyder,1,5,Winter DH Germination
14,BS613-8,11013,Full,B,7,2,10,14,5,0,0,1,NA,,,2020,Snyder,1,5,Winter DH Germination
13,BS613-8,11013,Full,B,7,1,6,15,7,2,0,1,NA,,,2020,Snyder,1,5,Winter DH Germination
15,BS613-10,11015,Full,B,9,1,0,2,9,7,7,6,NA,,,2020,Snyder,1,5,Winter DH Germination
16,BS613-10,11015,Full,B,9,2,0,4,9,8,5,4,NA,,,2020,Snyder,1,5,Winter DH Germination
17,BS613-11,11016,Full,B,10,1,2,10,4,3,3,8,5,,,2020,Snyder,1,5,Winter DH Germination
18,BS613-11,11016,Full,B,10,2,2,9,7,5,3,4,NA,,,2020,Snyder,1,5,Winter DH Germination
20,BS613-12,11017,Full,B,11,2,0,3,2,3,4,18,NA,,,2020,Snyder,1,5,Winter DH Germination
19,BS613-12,11017,Full,B,11,1,0,1,2,8,8,12,NA,,,2020,Snyder,1,5,Winter DH Germination
22,BS613-13,11018,Full,B,12,2,3,18,5,1,2,1,1,,,2020,Snyder,1,5,Winter DH Germination
21,BS613-13,11018,Full,B,12,1,0,11,15,2,2,1,1,,,2020,Snyder,1,5,Winter DH Germination
23,BS613-15,11020,Full,B,14,1,0,4,7,2,5,9,2,,,2020,Snyder,1,5,Winter DH Germination
24,BS613-15,11020,Full,B,14,2,0,1,18,2,3,6,2,,,2020,Snyder,1,5,Winter DH Germination
25,BS613-16,11021,Full,B,15,1,4,16,6,2,0,2,NA,,,2020,Snyder,1,5,Winter DH Germination
