,Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,KernelsLeft,User_Day1_2,User_Day3,User_Day4_5,Mold_kern?,notes
1,Check 1-Flavia,11001,Full,1,1,0,9,6,6,4,5,DS,DS,KK,0,
2,Check 1-Flavia,11001,Full,1,2,0,8,17,2,5,3,DS,DS,KK,0,
3,BS611-2,11007,Full,2,1,0,5,13,5,6,1,DS,DS,KK,0,
4,BS611-2,11007,Full,2,2,0,3,12,7,1,8,DS,DS,KK,0,
5,BS611-3,11008,Full,3,1,0,1,8,3,10,13,DS,DS,KK,0,
6,BS611-3,11008,Full,3,2,0,1,2,6,6,16,DS,DS,KK,0,
7,BS611-4,11009,Full,4,1,0,2,4,3,4,17,DS,DS,KK,0,
8,BS611-4,11009,Full,4,2,0,1,5,4,6,14,DS,DS,KK,0,
9,BS613-6,11011,Full,5,1,0,0,0,7,8,15,DS,DS,KK,0,
10,BS613-6,11011,Full,5,2,0,1,2,3,4,20,DS,DS,KK,0,
11,BS613-7,11012,Full,6,1,0,1,2,8,8,11,DS,DS,KK,0,
12,BS613-7,11012,Full,6,2,0,0,1,9,9,12,DS,DS,KK,0,
13,BS613-8,11013,Full,7,1,6,15,7,2,0,1,DS,DS,KK,0,
14,BS613-8,11013,Full,7,2,10,14,5,0,0,1,DS,DS,KK,0,
15,BS613-10,11015,Full,9,1,0,2,9,7,7,6,DS,DS,KK,0,
16,BS613-10,11015,Full,9,2,0,4,9,8,5,4,DS,DS,KK,0,
17,BS613-11,11016,Full,10,1,2,10,4,3,3,8,DS,DS,KK,5,
18,BS613-11,11016,Full,10,2,2,9,7,5,3,4,DS,DS,KK,0,
19,BS613-12,11017,Full,11,1,0,1,2,8,8,12,DS,DS,KK,0,
20,BS613-12,11017,Full,11,2,0,3,2,3,4,18,DS,DS,KK,0,
21,BS613-13,11018,Full,12,1,0,11,15,2,2,1,DS,DS,KK,1,
22,BS613-13,11018,Full,12,2,3,18,5,1,2,1,DS,DS,KK,1,
23,BS613-15,11020,Full,14,1,0,4,7,2,5,9,DS,DS,KK,2,
24,BS613-15,11020,Full,14,2,0,1,18,2,3,6,DS,DS,KK,2,
25,BS613-16,11021,Full,15,1,4,16,6,2,0,2,DS,DS,KK,0,
26,BS613-16,11021,Full,15,2,4,15,6,2,1,1,DS,DS,KK,0,
27,BS613-21,11026,Full,17,1,0,0,4,10,8,8,DS,DS,KK,0,
28,BS613-21,11026,Full,17,2,0,0,4,11,7,8,DS,DS,KK,0,
29,BS614-23,11028,Full,18,1,2,10,11,3,2,2,DS,DS,KK,0,
30,BS614-23,11028,Full,18,2,1,9,10,3,1,6,DS,DS,KK,2,
31,BS614-26,11031,Full,20,1,0,1,4,6,9,15,DS,DS,KK,0,
32,BS614-26,11031,Full,20,2,0,0,4,4,2,20,DS,DS,KK,0,
33,BS614-29,11034,Full,22,1,0,0,6,8,9,7,DS,DS,KK,0,
34,BS614-29,11034,Full,22,2,0,1,6,6,6,11,DS,DS,KK,0,
35,BS614-31,11036,Full,24,1,0,9,9,2,4,6,DS,DS,KK,0,
36,BS614-31,11036,Full,24,2,0,8,9,4,2,7,DS,DS,KK,1,
37,BS614-32,11037,Full,25,1,0,3,5,3,5,15,DS,DS,KK,0,
38,BS614-32,11037,Full,25,2,0,3,2,4,5,16,DS,DS,KK,1,
39,BS614-34,11039,Full,27,1,0,0,6,2,9,13,DS,DS,KK,0,
40,BS614-34,11039,Full,27,2,0,2,0,7,2,19,DS,DS,KK,0,
41,BS614-36,11041,Full,28,1,0,1,9,7,5,8,DS,DS,KK,2,
42,BS614-36,11041,Full,28,2,0,4,11,2,2,11,DS,DS,KK,2,
43,BS614-37,11042,Full,29,1,1,1,6,7,3,12,DS,DS,KK,4,
