,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
1,Check 1-Flavia,11001,C,Full,1,1,5,15,4,2,2,2,,,,2020,Snyder,2,19,Winter DH Germination
2,Check 1-Flavia,11001,C,Full,1,2,4,18,4,1,1,2,,,,2020,Snyder,2,19,Winter DH Germination
3,BS611-2,11007,B,Full,2,1,3,10,10,6,1,0,,,,2020,Snyder,2,19,Winter DH Germination
4,BS611-2,11007,B,Full,2,2,1,13,8,4,2,2,,,,2020,Snyder,2,19,Winter DH Germination
5,BS611-3,11008,B,Full,3,1,0,3,6,11,5,5,,,,2020,Snyder,2,19,Winter DH Germination
6,BS611-3,11008,B,Full,3,2,0,4,8,6,7,5,,,,2020,Snyder,2,19,Winter DH Germination
7,BS611-4,11009,B,Full,4,1,0,7,8,2,6,7,,,,2020,Snyder,2,19,Winter DH Germination
8,BS611-4,11009,B,Full,4,2,0,1,8,7,6,8,,,,2020,Snyder,2,19,Winter DH Germination
9,BS613-6,11011,B,Full,5,1,0,2,4,9,6,9,,,,2020,Snyder,2,19,Winter DH Germination
10,BS613-6,11011,B,Full,5,2,0,3,7,5,7,8,,,,2020,Snyder,2,19,Winter DH Germination
11,BS613-7,11012,B,Full,6,1,0,2,7,11,2,8,,,,2020,Snyder,2,19,Winter DH Germination
12,BS613-7,11012,B,Full,6,2,0,3,10,6,6,5,,,,2020,Snyder,2,19,Winter DH Germination
13,BS613-8,11013,B,Full,7,1,10,17,3,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
14,BS613-8,11013,B,Full,7,2,13,12,3,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
15,BS613-9,11014,B,Half,8,1,0,9,8,5,2,6,,,,2020,Snyder,2,19,Winter DH Germination
16,BS613-9,11014,B,Half,8,2,0,7,9,8,2,4,,,,2020,Snyder,2,19,Winter DH Germination
17,BS613-10,11015,B,Full,9,1,0,11,14,3,1,2,,,,2020,Snyder,2,19,Winter DH Germination
18,BS613-10,11015,B,Full,9,2,1,13,6,7,2,2,,,,2020,Snyder,2,19,Winter DH Germination
19,BS613-11,11016,B,Full,10,1,6,20,3,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
20,BS613-11,11016,B,Full,10,2,6,14,7,2,0,1,,,,2020,Snyder,2,19,Winter DH Germination
21,BS613-12,11017,B,Full,11,1,3,4,8,4,5,6,,,,2020,Snyder,2,19,Winter DH Germination
22,BS613-12,11017,B,Full,11,2,1,4,10,3,1,11,,,,2020,Snyder,2,19,Winter DH Germination
23,BS613-13,11018,B,Full,12,1,4,14,9,2,0,1,,,,2020,Snyder,2,19,Winter DH Germination
24,BS613-13,11018,B,Full,12,2,4,17,5,1,1,2,,,,2020,Snyder,2,19,Winter DH Germination
25,BS613-14,11019,B,Half,13,1,2,15,6,5,1,1,,,,2020,Snyder,2,19,Winter DH Germination
26,BS613-14,11019,B,Half,13,2,1,9,12,7,0,1,,,,2020,Snyder,2,19,Winter DH Germination
27,BS613-15,11020,B,Full,14,1,1,15,7,5,2,0,,,,2020,Snyder,2,19,Winter DH Germination
28,BS613-15,11020,B,Full,14,2,1,12,5,8,1,3,,,,2020,Snyder,2,19,Winter DH Germination
29,BS613-16,11021,B,Full,15,1,8,17,4,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
30,BS613-16,11021,B,Full,15,2,8,15,4,2,1,0,,,,2020,Snyder,2,19,Winter DH Germination
31,BS613-20,11025,B,Half,16,1,0,0,1,3,5,21,,,,2020,Snyder,2,19,Winter DH Germination
32,BS613-20,11025,B,Half,16,2,0,0,1,11,6,12,,,,2020,Snyder,2,19,Winter DH Germination
33,BS613-21,11026,B,Full,17,1,1,0,15,5,5,4,,,,2020,Snyder,2,19,Winter DH Germination
34,BS613-21,11026,B,Full,17,2,0,6,12,4,2,6,,,,2020,Snyder,2,19,Winter DH Germination
35,BS614-23,11028,B,Full,18,1,2,19,6,1,0,2,,,,2020,Snyder,2,19,Winter DH Germination
36,BS614-23,11028,B,Full,18,2,4,18,4,2,1,1,,,,2020,Snyder,2,19,Winter DH Germination
37,BS614-24,11029,B,Half,19,1,0,8,9,8,2,3,,,,2020,Snyder,2,19,Winter DH Germination
38,BS614-24,11029,B,Half,19,2,1,9,9,5,2,4,,,,2020,Snyder,2,19,Winter DH Germination
39,BS614-26,11031,B,Full,20,1,0,4,7,6,5,8,,,,2020,Snyder,2,19,Winter DH Germination
40,BS614-26,11031,B,Full,20,2,0,2,6,8,4,10,,,,2020,Snyder,2,19,Winter DH Germination
41,BS614-27,11032,B,Half,21,1,1,6,11,5,0,7,,,,2020,Snyder,2,19,Winter DH Germination
42,BS614-27,11032,B,Half,21,2,0,7,7,6,6,4,,,,2020,Snyder,2,19,Winter DH Germination
43,BS614-29,11034,B,Full,22,1,0,6,10,8,3,3,,,,2020,Snyder,2,19,Winter DH Germination
44,BS614-29,11034,B,Full,22,2,0,8,6,9,2,5,,,,2020,Snyder,2,19,Winter DH Germination
45,BS614-30,11035,B,Half,23,1,1,19,6,2,1,1,,,,2020,Snyder,2,19,Winter DH Germination
46,BS614-30,11035,B,Half,23,2,1,18,6,1,3,1,,,,2020,Snyder,2,19,Winter DH Germination
47,BS614-31,11036,B,Full,24,1,2,16,8,1,2,1,,,,2020,Snyder,2,19,Winter DH Germination
48,BS614-31,11036,B,Full,24,2,2,14,6,3,2,3,,,,2020,Snyder,2,19,Winter DH Germination
