Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,UserDay1,UserDay2,UserDay3,UserDay4,UserDay5,Year,Timepoint,PM_at_plating,Experiment
Check 1-Flavia,11001,Full,1,1,3,21,5,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
Check 1-Flavia,11001,Full,1,2,8,20,1,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS611-2,11007,Full,2,2,2,20,7,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS611-2,11007,Full,2,1,3,19,4,2,0,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS611-3,11008,Full,3,1,2,17,9,1,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS611-3,11008,Full,3,2,3,18,6,3,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS611-4,11009,Full,4,1,1,14,12,2,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS611-4,11009,Full,4,2,3,17,8,1,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-6,11011,Full,5,1,0,10,11,4,3,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-6,11011,Full,5,2,1,7,6,11,4,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-7,11012,Full,6,2,1,13,9,6,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-7,11012,Full,6,1,2,12,12,2,2,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-8,11013,Full,7,2,12,15,1,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-8,11013,Full,7,1,14,15,0,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-9,11014,Half,8,2,1,26,2,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-9,11014,Half,8,1,6,15,7,2,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-10,11015,Full,9,1,2,25,2,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-10,11015,Full,9,2,3,19,6,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-11,11016,Full,10,1,8,19,3,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-11,11016,Full,10,2,11,13,4,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-12,11017,Full,11,1,4,17,6,2,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-12,11017,Full,11,2,5,18,6,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-13,11018,Full,12,1,8,17,4,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-13,11018,Full,12,2,10,18,1,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-14,11019,Half,13,2,4,19,5,0,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-14,11019,Half,13,1,9,19,2,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-15,11020,Full,14,1,4,20,6,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-15,11020,Full,14,2,5,20,4,1,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-16,11021,Full,15,2,15,15,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-16,11021,Full,15,1,16,14,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-20,11025,Half,16,1,0,5,13,10,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-20,11025,Half,16,2,0,11,14,2,2,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS613-21,11026,Full,17,1,1,17,8,4,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS613-21,11026,Full,17,2,1,16,9,2,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-23,11028,Full,18,2,9,21,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-23,11028,Full,18,1,12,15,2,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-24,11029,Half,19,1,2,23,0,1,0,4,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-24,11029,Half,19,2,5,19,4,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-26,11031,Full,20,2,0,17,7,4,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-26,11031,Full,20,1,1,7,17,2,3,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-27,11032,Half,21,2,2,11,14,1,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-27,11032,Half,21,1,3,14,9,3,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-29,11034,Full,22,1,1,16,10,0,0,3,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-29,11034,Full,22,2,5,12,9,3,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-30,11035,Half,23,1,7,21,1,0,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-30,11035,Half,23,2,8,18,3,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-31,11036,Full,24,1,11,15,4,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-31,11036,Full,24,2,11,15,3,1,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-32,11037,Full,25,2,0,19,10,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-32,11037,Full,25,1,7,15,6,1,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-33,11038,Half,26,1,6,20,3,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-33,11038,Half,26,2,7,20,1,2,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-34,11039,Full,27,1,5,12,10,1,0,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-34,11039,Full,27,2,5,20,5,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-36,11041,Full,28,2,2,23,4,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-36,11041,Full,28,1,7,15,5,2,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-37,11042,Full,29,1,5,19,5,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-37,11042,Full,29,2,5,18,5,1,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-38,11043,Full,30,1,3,20,5,1,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-38,11043,Full,30,2,3,17,9,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-39,11044,Full,31,1,2,17,9,2,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-39,11044,Full,31,2,2,23,5,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS614-40,11045,Full,32,1,3,17,9,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS614-40,11045,Full,32,2,5,17,5,2,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-41,11046,Full,33,2,1,24,2,3,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-41,11046,Full,33,1,6,17,6,0,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-42,11047,Full,34,1,3,21,4,1,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-42,11047,Full,34,2,5,22,3,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-43,11048,Half,35,2,9,20,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-43,11048,Half,35,1,13,15,1,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-44,11049,Half,36,1,2,17,7,0,2,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-44,11049,Half,36,2,3,16,9,1,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
Check 6-Charles,11050,Full,37,2,17,13,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
Check 6-Charles,11050,Full,37,1,19,11,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-45,11052,Half,38,1,0,15,9,1,3,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-45,11052,Half,38,2,1,12,11,4,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-46,11053,Full,39,2,10,20,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-46,11053,Full,39,1,14,16,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-48,11055,Full,40,2,9,17,2,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-48,11055,Full,40,1,12,18,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-49,11056,Full,41,1,5,20,5,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-49,11056,Full,41,2,7,16,4,1,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-50,11057,Half,42,1,1,18,9,1,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-50,11057,Half,42,2,4,17,5,0,1,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-51,11058,Full,43,1,0,11,15,2,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-51,11058,Full,43,2,1,19,8,0,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-52,11059,Half,44,1,1,18,8,1,2,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-52,11059,Half,44,2,2,22,4,1,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-53,11060,Full,45,1,5,20,5,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-53,11060,Full,45,2,9,19,2,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-54,11061,Half,46,1,2,27,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-54,11061,Half,46,2,5,24,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-55,11062,Full,47,1,7,17,4,0,0,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-55,11062,Full,47,2,8,21,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-56,11063,Half,48,1,5,18,6,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-56,11063,Half,48,2,5,20,4,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS615-57,11064,Half,49,1,4,25,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS615-57,11064,Half,49,2,9,17,4,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-58,11065,Full,50,1,3,23,2,2,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-58,11065,Full,50,2,4,21,3,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-59,11066,Half,51,1,3,23,2,1,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-59,11066,Half,51,2,3,19,7,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-60,11067,Half,52,1,0,10,16,3,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-60,11067,Half,52,2,0,8,20,2,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-61,11068,Half,53,1,0,5,24,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-61,11068,Half,53,2,0,5,15,7,1,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-62,11069,Full,54,1,0,10,17,2,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-62,11069,Full,54,2,0,16,12,2,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-63,11070,Half,55,2,10,19,0,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-63,11070,Half,55,1,11,18,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-64,11071,Full,56,1,3,19,5,2,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-64,11071,Full,56,2,4,12,6,2,1,5,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-66,11073,Full,57,2,0,14,15,1,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-66,11073,Full,57,1,1,13,12,4,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-67,11074,Half,58,1,0,27,3,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-67,11074,Half,58,2,3,27,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-68,11075,Full,59,1,0,14,15,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-68,11075,Full,59,2,2,19,7,1,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-69,11076,Full,60,2,7,22,0,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-69,11076,Full,60,1,10,19,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-70,11077,Half,61,1,0,6,13,6,2,3,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-70,11077,Half,61,2,0,10,16,2,1,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-71,11078,Full,62,2,4,14,8,1,0,3,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-71,11078,Full,62,1,9,17,2,1,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-72,11079,Half,63,1,1,18,6,3,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-72,11079,Half,63,2,7,14,5,1,0,4,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-73,11080,Half,64,1,0,19,9,1,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-73,11080,Half,64,2,3,16,10,1,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-74,11081,Full,65,1,0,23,6,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-74,11081,Full,65,2,0,22,6,1,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-75,11082,Full,66,1,0,12,9,7,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-75,11082,Full,66,2,1,7,18,4,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-78,11085,Half,67,1,1,26,3,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-78,11085,Half,67,2,3,23,3,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS616-79,11086,Full,68,1,4,15,7,3,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS616-79,11086,Full,68,2,6,14,9,1,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-2,11088,Full,69,2,10,20,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-2,11088,Full,69,1,15,14,0,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-7,11093,Full,70,1,10,18,0,1,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-7,11093,Full,70,2,10,17,1,1,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-8,11094,Full,71,2,8,22,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-8,11094,Full,71,1,18,12,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-9,11095,Full,72,1,11,18,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-9,11095,Full,72,2,12,17,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-12,11098,Half,73,1,7,22,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-12,11098,Half,73,2,12,16,1,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
Check 1-Flavia,11100,Full,74,1,10,20,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
Check 1-Flavia,11100,Full,74,2,15,15,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-21,11112,Full,75,1,1,15,13,3,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-21,11112,Full,75,2,1,19,10,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-23,11114,Full,76,1,2,21,7,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-23,11114,Full,76,2,2,24,5,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-27,11118,Full,77,1,0,10,11,9,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-27,11118,Full,77,2,0,6,19,5,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-29,11120,Half,78,1,1,20,9,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-29,11120,Half,78,2,6,17,7,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-30,11121,Full,79,1,12,18,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
