"","Order","Entry","PLOT","Full_sample","Location","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","notes"
"1",1,"Flavia","11001","Full","Snyder",1,2,13,17,0,0,0,0,"KK","KK","KK","KK","KK",NA
"2",2,"Flavia","11001","Full","Snyder",1,1,10,20,0,0,0,0,"TR","TR","TR","TR","TR",NA
"3",3,"BS611-2","11007","Full","Snyder",2,2,9,16,5,0,0,0,"KK","KK","KK","KK","KK",NA
"4",4,"BS611-2","11007","Full","Snyder",2,1,15,14,1,0,0,0,"TR","TR","TR","TR","TR",NA
"5",5,"BS611-3","11008","Full","Snyder",3,2,11,18,1,0,0,0,"KK","KK","KK","KK","KK",NA
"6",6,"BS611-3","11008","Full","Snyder",3,1,8,21,1,0,0,0,"TR","TR","TR","TR","TR",NA
"7",7,"BS611-4","11009","Full","Snyder",4,2,5,23,2,0,0,0,"KK","KK","KK","KK","KK",NA
"8",8,"BS611-4","11009","Full","Snyder",4,1,4,19,6,0,0,1,"TR","TR","TR","TR","TR",NA
"9",9,"BS613-6","11011","Full","Snyder",5,2,6,23,1,0,0,0,"KK","KK","KK","KK","KK",NA
"10",10,"BS613-6","11011","Full","Snyder",5,1,4,25,1,0,0,0,"TR","TR","TR","TR","TR",NA
"11",11,"BS613-7","11012","Full","Snyder",6,2,12,16,2,0,0,0,"KK","KK","KK","KK","KK",NA
"12",12,"BS613-7","11012","Full","Snyder",6,1,7,21,2,0,0,0,"TR","TR","TR","TR","TR",NA
"13",13,"BS613-8","11013","Full","Snyder",7,2,16,13,1,0,0,0,"KK","KK","KK","KK","KK",NA
"14",14,"BS613-8","11013","Full","Snyder",7,1,13,17,0,0,0,0,"TR","TR","TR","TR","TR",NA
"15",15,"BS613-9","11014","Half","Snyder",8,2,8,20,2,0,0,0,"KK","KK","KK","KK","KK",NA
"16",16,"BS613-9","11014","Half","Snyder",8,1,11,19,5,0,0,0,"TR","TR","TR","TR","TR",NA
"17",17,"BS613-10","11015","Full","Snyder",9,2,8,22,0,0,0,0,"KK","KK","KK","KK","KK",NA
