"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"2"	"chr4H"	"PGSB"	"mRNA"	621898111	621900772	"."	"-"	"."	"_Ahrdqual=***;_Description=Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1;_Gene_id=HORVU.MOREX.r2.4HG0348300;ID=HORVU.MOREX.r2.4HG0348300.1;Ontology_term=GO:0005739;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348300"
"10"	"chr4H"	"PGSB"	"mRNA"	621900936	621903760	"."	"+"	"."	"_Ahrdqual=***;_Description=Cyclin delta-3;_Description2=putative;_Gene_id=HORVU.MOREX.r2.4HG0348310;ID=HORVU.MOREX.r2.4HG0348310.1;Ontology_term=GO:0005739;_Primary_confidence_class=HC;_Secondary_condidence_class=HC2;Parent=HORVU.MOREX.r2.4HG0348310"
"34"	"chr4H"	"PGSB"	"mRNA"	621936642	621937466	"."	"+"	"."	"_Ahrdqual=--*;_Description=Gag polyprotein;_Gene_id=HORVU.MOREX.r2.4HG0348320;ID=HORVU.MOREX.r2.4HG0348320.1;Ontology_term=GO:0003676,GO:0005198,GO:0008270,GO:0016032,GO:0019012,GO:0019013,GO:0019028,GO:0039660,GO:0039702,GO:0046755,GO:0046872;_Primary_confidence_class=HC;_Secondary_condidence_class=HC2;Parent=HORVU.MOREX.r2.4HG0348320"
"38"	"chr4H"	"PGSB"	"mRNA"	621942916	621946235	"."	"+"	"."	"_Ahrdqual=*-*;_Description=Nascent polypeptide-associated complex subunit beta;_Gene_id=HORVU.MOREX.r2.4HG0348340;ID=HORVU.MOREX.r2.4HG0348340.1;Ontology_term=GO:0006351,GO:0006355;_Primary_confidence_class=HC;_Secondary_condidence_class=HC2;Parent=HORVU.MOREX.r2.4HG0348340"
"56"	"chr4H"	"PGSB"	"mRNA"	621950455	621952593	"."	"+"	"."	"_Ahrdqual=***;_Description=Nascent polypeptide-associated complex subunit beta;_Gene_id=HORVU.MOREX.r2.4HG0348350;ID=HORVU.MOREX.r2.4HG0348350.1;Ontology_term=GO:0006351,GO:0006355;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348350"
"68"	"chr4H"	"PGSB"	"mRNA"	621979051	621979845	"."	"-"	"."	"_Ahrdqual=***;_Description=Heat shock transcription factor;_Gene_id=HORVU.MOREX.r2.4HG0348360;ID=HORVU.MOREX.r2.4HG0348360.1;Ontology_term=GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0043565;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348360"
"72"	"chr4H"	"PGSB"	"mRNA"	622034617	622035790	"."	"+"	"."	"_Ahrdqual=***;_Description=Peroxidase;_Gene_id=HORVU.MOREX.r2.4HG0348370;ID=HORVU.MOREX.r2.4HG0348370.1;Ontology_term=GO:0004601,GO:0005576,GO:0006979,GO:0016491,GO:0020037,GO:0042744,GO:0046872,GO:0055114,GO:0098869;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348370"
"80"	"chr4H"	"PGSB"	"mRNA"	622045539	622046180	"."	"-"	"."	"_Ahrdqual=--*;_Description=DNA mismatch repair protein MutS;_Gene_id=HORVU.MOREX.r2.4HG0348380;ID=HORVU.MOREX.r2.4HG0348380.1;Ontology_term=GO:0000166,GO:0003677,GO:0005524,GO:0006281,GO:0006298,GO:0006974,GO:0030983;_Primary_confidence_class=HC;_Secondary_condidence_class=HC2;Parent=HORVU.MOREX.r2.4HG0348380"
"84"	"chr4H"	"PGSB"	"mRNA"	622064493	622072782	"."	"+"	"."	"_Ahrdqual=***;_Description=Malate dehydrogenase;_Gene_id=HORVU.MOREX.r2.4HG0348390;ID=HORVU.MOREX.r2.4HG0348390.1;Ontology_term=GO:0003824,GO:0005975,GO:0006099,GO:0006108,GO:0016491,GO:0016615,GO:0016616,GO:0019752,GO:0030060,GO:0046554,GO:0055114;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348390"
"110"	"chr4H"	"PGSB"	"mRNA"	622109142	622112234	"."	"-"	"."	"_Ahrdqual=***;_Description=Leucine-rich repeat receptor-like protein kinase family protein;_Gene_id=HORVU.MOREX.r2.4HG0348400;ID=HORVU.MOREX.r2.4HG0348400.1;Ontology_term=GO:0003677,GO:0005634,GO:0008289;_Primary_confidence_class=HC;_Secondary_condidence_class=HC2;Parent=HORVU.MOREX.r2.4HG0348400"
"114"	"chr4H"	"PGSB"	"mRNA"	622116663	622124088	"."	"-"	"."	"_Ahrdqual=***;_Description=Homeobox leucine-zipper protein;_Gene_id=HORVU.MOREX.r2.4HG0348410;ID=HORVU.MOREX.r2.4HG0348410.1;Ontology_term=GO:0003677,GO:0005634,GO:0008289;_Primary_confidence_class=HC;_Secondary_condidence_class=HC1;Parent=HORVU.MOREX.r2.4HG0348410"
